gender,<25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60+
Male,16:16,16:16,16:18,16:18,16:23,16:23,16:40,16:40,16:58
Female,17:22,17:22,17:28,17:28,17:49,17:49,18:11,18:11,18:53
